Month,Shimla,Mussorie,Meerut,New Delhi,Jodhpur,Kanpur,Lucknow,Darjeeling,Guwahati,Shillong,Aizwal,Kolkata,Puri,Bhopal,Indore,Ahmedabad,Rajkot,Aurangabad,Mumbai,Pune,Hyderabad,Mangalore,Bangalore,Chennai,Coimbatore,Madurai,Kochi,Thrivananthapuram
0,70.6,42.3,14.3,22.5,4.8,15,20.5,12.6,11.7,14.8,8.6,12.1,15.5,14.8,6.6,70.6,1.2,3.8,1,1.7,10.9,3.4,2.3,27,3.7,16.1,17.2,14.8
1,77.1,55.2,25.2,22,4,12.9,15.5,15.5,23.9,20.6,24.7,24.5,28.2,11.7,4.4,77.1,1.2,2.5,0.5,1.5,8.2,0.2,6.4,26.4,10.7,13,27.6,11.7
2,81,65,20.9,14.5,1.7,4.7,8.4,27,59,48.2,90.3,44.8,22.6,13.3,3,81,0.1,5,0.7,0.6,18.9,2.4,16,3.6,17.7,11.6,25.4,13.3
3,64.6,47.6,20,20.6,19.7,4.9,4.1,56.7,179.1,122.6,169.1,55.7,26,5.3,3.7,64.6,2.8,3,0.4,9.8,20.9,31.6,44.5,11.9,40.4,44.1,123.6,5.3
4,90.9,74.9,19.3,28.5,18.8,11.4,20.6,176.4,255.4,268.4,292,153.6,93.9,16.5,11.1,90.9,6.5,35.9,29.6,30,31.6,194.2,96,51.6,74.5,60.9,193,16.5
5,171.3,191.4,65.5,83.7,23.6,61.7,106.5,462.6,287.3,429.2,306,311.9,206.7,140,161,171.3,115.5,140.9,475.1,171.4,116.3,1079.7,85.7,85.7,27.5,28.7,327.6,140
6,344.1,583.1,243.1,184,113.4,240.4,236.9,690.8,332.9,513.5,313.2,332.5,275.6,338.1,284.9,344.1,237.7,166,815.9,171,170.6,1012.6,100.3,106.9,28,61.4,183.2,338.1
7,308.3,573,264.4,227.2,91.9,261.7,213.6,464.5,273.4,305.6,314.8,349.5,343.2,372,277.9,308.3,132.8,166.9,579.3,139.5,190.4,732.9,117.8,120.3,24.1,72.5,143,372
8,135.6,231.9,125.4,119.6,39.3,124.5,218.4,314.4,192.5,279,277.4,287.3,265,177.4,185.5,135.6,82.8,175.9,328.4,141.7,114.1,235,194.6,151,73,120.7,172.1,177.4
9,42.5,40.7,20,16,5.5,55.8,43.5,87.7,119.7,213.6,188,147,174.5,34.8,44.5,42.5,22.9,87.3,93.7,85.8,108.5,222.6,154.5,268.1,155.2,154.5,269.4,34.8
10,20.2,11.6,2.6,5.6,2.2,1.2,6,11.3,14.6,38.7,49.5,36.9,61.3,9.9,8.6,20.2,6.6,14.1,8.2,21.5,26.1,73.9,43.9,512.5,114.6,130.9,194.9,9.9
11,31,17.3,12.6,10.9,0.7,9.9,14.3,3.7,8.8,15.6,16.2,9.4,9.3,13.6,3.9,31,0.6,12,1.9,7.4,5.3,6.7,15.8,184.8,38.2,34.4,56.6,13.6
